num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,ann_wit_ratio,ann_diff,wit_diff,ann_roll_std,wit_roll_std
970,113,5.370103092783505,21.0,1.6416401748247642,11,100,1083,8.508771929824562,483.0,56.0,286.97212432654175,28.00595174839332
1736,347,4.983294930875576,14.0,2.1154080824777264,50,69,2083,4.988505747126437,-321.0,18.0,21959.81535289674,60.71518207007777
1897,366,5.016341591987349,18.0,1.8354118454472883,71,81,2263,5.168937329700272,-8026.0,-1489.0,5310.40120896617,1177.2370194654943
1516,436,4.720976253298153,13.0,1.563302132923399,51,76,1952,3.469107551487414,-1936.0,-90.0,1025.9943145670968,100.16652800877775
701,53,6.348074179743224,20.0,2.598987485319676,6,46,754,12.981481481481481,-199.0,-62.0,200.50187066600387,39.715656022950704
1862,1776,4.571428571428571,16.0,1.6321159159356555,394,429,3638,1.047833427124367,382.0,1667.0,444.3977199838607,850.0935242665928
2526,547,5.156373713380839,13.0,1.8598172446180532,70,120,3073,4.609489051094891,-68.0,267.0,784.2017173686261,139.07192383799247
1838,416,5.294885745375408,15.0,1.8989963453621688,58,126,2254,4.407673860911271,-202.0,9.0,2100.5204910532984,657.9060216586868
193,31,5.523316062176166,21.0,3.139374774987037,9,19,224,6.03125,-31.0,-47.0,27.098588043400788,26.85144316419497
1228,249,5.423452768729642,15.0,2.15139613791411,47,199,1477,4.912,309.0,174.0,496.07895891067034,111.93897146808763
2415,157,5.9979296066252585,17.0,2.536931327054749,27,75,2572,15.284810126582279,348.0,-36.0,447.97805005867315,45.829393774788024
1737,224,6.320667818077144,24.0,2.97062843357193,34,56,1961,7.72,-546.0,-88.0,290.30328968150565,51.69461610081927
342,93,5.187134502923977,15.0,2.0362384996662346,13,74,435,3.6382978723404253,27.0,5.0,83.94244143502469,12.662279942147224
280,112,5.628571428571429,18.0,2.49096325930024,15,88,392,2.47787610619469,-2.0,52.0,72.17571249446895,35.55277766926243
2736,520,5.073464912280702,15.0,1.987187905599434,78,97,3256,5.251439539347409,153.0,-265.0,602.7207755846587,193.1847129920226
3852,861,5.007528556593977,13.0,1.3012875714771452,183,261,4713,4.468677494199536,-673.0,-472.0,2439.816045016959,418.6840495329827
235,82,5.476595744680851,14.0,2.1992467536377416,22,52,317,2.8313253012048194,-39.0,33.0,58.4836171426231,16.703293088490074
652,147,5.967791411042945,19.0,2.256661447582686,59,82,799,4.405405405405405,163.0,71.0,81.54140139012864,43.154760262725745
351,91,5.250712250712251,15.0,2.133665386776336,16,73,442,3.8152173913043477,-124.0,39.0,92.1158698304551,35.557465184375054
793,217,6.738965952080706,17.0,2.332122834048503,94,112,1010,3.6376146788990824,227.0,129.0,116.12206282161051,67.33745861950408
2296,544,5.468641114982578,16.0,2.2473118049245997,83,134,2840,4.2128440366972475,-1880.0,-438.0,1137.023013628369,419.6359533371735
682,121,5.5014662756598245,18.0,2.40188664045858,34,84,803,5.590163934426229,355.0,14.0,183.33848516136547,17.08800740314076
3625,635,5.065655172413793,17.0,1.384881328810176,129,201,4260,5.699685534591195,1640.0,219.0,961.3117774812084,133.24538766251757
708,312,5.822033898305085,19.0,3.061879770282377,39,63,1020,2.2619808306709266,-568.0,-5.0,754.114933895903,18.357559750698936
220,60,5.572727272727272,15.0,2.1530489624508644,16,37,280,3.6065573770491803,-81.0,2.0,56.20498323643493,3.0550504633818205
1052,252,4.568441064638783,13.0,1.5028718526414635,36,63,1304,4.158102766798419,-182.0,-35.0,133.84443768459298,38.552993831595266
8901,23094,6.151893045725199,14.0,1.6810849411260953,2692,3170,31995,0.3854080969906906,2514.0,16524.0,15355.934911303184,10508.717587476287
3854,707,4.981837052413077,15.0,1.5450952407459702,133,200,4561,5.443502824858757,2015.0,464.0,1258.9314251913102,284.427495154744
444,144,5.916666666666667,14.0,2.1963917311437493,56,84,588,3.0620689655172413,-288.0,87.0,170.1538523630166,54.37217425607816
275,53,5.127272727272727,13.0,1.5380571623677528,5,46,328,5.092592592592593,-281.0,-307.0,606.2680926294939,285.7697208126293
