num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,label
1078.0,299.0,5.256029684601113,16.0,1.817084406233944,59.0,231.0,1377.0,0
20663.0,4186.0,5.217635386923487,17.0,1.989206388023881,659.0,861.0,24849.0,1
1805.0,376.0,5.154016620498615,13.0,1.784386480921991,68.0,93.0,2181.0,0
420.0,72.0,7.280952380952381,17.0,3.97397714274576,12.0,53.0,492.0,0
1689.0,550.0,4.849615156897572,16.0,1.6698848001044515,59.0,76.0,2239.0,0
37196.0,6638.0,4.963194967200774,21.0,2.0760271033839564,1082.0,1511.0,43834.0,1
359.0,108.0,5.77158774373259,16.0,2.429662444880252,38.0,41.0,467.0,1
1680.0,265.0,6.305357142857143,16.0,2.401927770626361,54.0,185.0,1945.0,0
3750.0,482.0,5.381066666666666,19.0,2.354369313048024,74.0,95.0,4232.0,1
21239.0,2201.0,4.828193417769199,15.0,1.3673270308373306,428.0,1033.0,23440.0,1
48651.0,3372.0,5.270641918973916,32.0,1.659707519050832,1215.0,1961.0,52023.0,1
807.0,213.0,6.1871127633209415,15.0,1.797266950572865,47.0,162.0,1020.0,0
10420.0,1819.0,4.731957773512476,17.0,1.8811204154468104,272.0,413.0,12239.0,1
6251.0,1098.0,4.546792513197889,19.0,2.057059326196233,186.0,311.0,7349.0,1
286.0,74.0,5.653846153846154,15.0,2.097893356625145,6.0,65.0,360.0,0
52573.0,3475.0,4.377113727578795,22.0,1.1259602870232883,1723.0,1726.0,56048.0,1
10944.0,2089.0,4.889619883040936,14.0,1.6059289368611362,412.0,590.0,13033.0,1
3897.0,553.0,5.362073389787016,20.0,1.772115614410266,124.0,147.0,4450.0,0
2811.0,611.0,5.775524724297403,15.0,2.216120565237764,94.0,155.0,3422.0,0
925.0,60.0,5.163243243243243,11.0,1.124830447412995,7.0,46.0,985.0,0
3436.0,187.0,5.403084982537835,15.0,1.818025712423164,27.0,80.0,3623.0,0
596.0,150.0,6.508389261744966,18.0,2.4552908402509592,32.0,88.0,746.0,0
2197.0,576.0,5.204824761037779,18.0,2.1117859500291587,99.0,144.0,2773.0,0
